04/01/2007 19.00,0.01,0.246,0.144,0,0,0,0,0,0
04/01/2007 20.00,0.073,0.341,0.145,0,0,0,0,0,0.033
04/01/2007 21.00,0.228,0.19,0.215,0,0.004,0.03,0,0,0.029
04/01/2007 22.00,0.257,0.396,0.307,0,0.027,0.057,0,0,0.131
04/01/2007 23.00,0.305,0.414,0.337,0,0.051,0.131,0,0.055,0.004
05/01/2007 00.00,0.575,0.481,0.454,0.094,0.057,0.144,0.044,0.374,0.027
05/01/2007 01.00,0.855,0.394,0.344,0.05,0.074,0.133,0.338,0.183,0.066
05/01/2007 02.00,0.497,0.174,0.477,0.053,0.134,0.11,0.333,0.231,0.128
05/01/2007 03.00,0.346,0.325,0.322,0.086,0.183,0.232,0.321,0.19,0.107
05/01/2007 04.00,0.253,0.225,0.212,0.132,0.187,0.29,0.386,0.196,0.158
05/01/2007 05.00,0.293,0.208,0.282,0.131,0.449,0.39,0.3,0.235,0.125
05/01/2007 06.00,0.238,0.267,0.383,0.182,0.309,0.253,0.312,0.173,0.175
05/01/2007 07.00,0.314,0.264,0.294,0.173,0.491,0.28,0.423,0.233,0.207
05/01/2007 08.00,0.302,0.198,0.268,0.158,0.458,0.342,0.337,0.215,0.451
05/01/2007 09.00,0.27,0.163,0.343,0.361,0.558,0.349,0.43,0.274,0.509
05/01/2007 10.00,0.214,0.225,0.367,0.302,0.585,0.397,0.493,0.277,0.632
05/01/2007 11.00,0.317,0.326,0.513,0.314,0.615,0.349,0.568,0.391,0.726
05/01/2007 12.00,0.424,0.437,0.409,0.366,0.485,0.346,0.593,0.588,0.75
05/01/2007 13.00,0.405,0.537,0.506,0.388,0.505,0.568,0.872,0.872,0.872
05/01/2007 14.00,0.467,0.572,0.664,0.695,0.626,0.588,0.723,0.702,0.667
05/01/2007 15.00,0.532,0.417,0.533,0.6,0.715,0.768,0.359,0.35,0.588
05/01/2007 16.00,0.285,0.351,0.282,0.562,0.407,0.487,0.305,0.225,0.609
05/01/2007 17.00,0.377,0.405,0.378,0.384,0.663,0.529,0.467,0.292,0.337
05/01/2007 18.00,0.589,0.686,0.569,0.602,0.639,0.672,0.648,0.365,0.29
05/01/2007 19.00,0.62,0.748,0.579,0.826,0.872,0.872,0.359,0.252,0.314
05/01/2007 20.00,0.725,0.773,0.561,0.872,0.872,0.716,0.438,0.766,0.25
05/01/2007 21.00,0.679,0.654,0.44,0.179,0.504,0.872,0.747,0.732,0.408
05/01/2007 22.00,0.525,0.71,0.872,0.611,0.5,0.872,0.872,0.872,0.872
